model,(Intercept),ECI_yoy_ch_3QMA_lag_4,avg_oil_pri_barrel_3QMA,Rl_est_Dub_q_yoy_ch_lag_1,avg_oil_pri_barrel_3QMA_lag_2,Non_oil_ECI_yoy_ch_3QMA_lag_3,Non_oil_ECI_yoy_ch_6QMA,avg_oil_pri_barrel,avg_oil_pri_barrel_3QMA_lag_1,avg_oil_pri_barrel_6QMA_lag_1,avg_oil_pri_barrel_lag_2,avg_oil_pri_barrel_lag_3,se.(Intercept),se.ECI_yoy_ch_3QMA_lag_4,se.avg_oil_pri_barrel_3QMA,se.Rl_est_Dub_q_yoy_ch_lag_1,se.avg_oil_pri_barrel_3QMA_lag_2,se.Non_oil_ECI_yoy_ch_3QMA_lag_3,se.Non_oil_ECI_yoy_ch_6QMA,se.avg_oil_pri_barrel,se.avg_oil_pri_barrel_3QMA_lag_1,se.avg_oil_pri_barrel_6QMA_lag_1,se.avg_oil_pri_barrel_lag_2,se.avg_oil_pri_barrel_lag_3,t.(Intercept),t.ECI_yoy_ch_3QMA_lag_4,t.avg_oil_pri_barrel_3QMA,t.Rl_est_Dub_q_yoy_ch_lag_1,t.avg_oil_pri_barrel_3QMA_lag_2,t.Non_oil_ECI_yoy_ch_3QMA_lag_3,t.Non_oil_ECI_yoy_ch_6QMA,t.avg_oil_pri_barrel,t.avg_oil_pri_barrel_3QMA_lag_1,t.avg_oil_pri_barrel_6QMA_lag_1,t.avg_oil_pri_barrel_lag_2,t.avg_oil_pri_barrel_lag_3,p.(Intercept),p.ECI_yoy_ch_3QMA_lag_4,p.avg_oil_pri_barrel_3QMA,p.Rl_est_Dub_q_yoy_ch_lag_1,p.avg_oil_pri_barrel_3QMA_lag_2,p.Non_oil_ECI_yoy_ch_3QMA_lag_3,p.Non_oil_ECI_yoy_ch_6QMA,p.avg_oil_pri_barrel,p.avg_oil_pri_barrel_3QMA_lag_1,p.avg_oil_pri_barrel_6QMA_lag_1,p.avg_oil_pri_barrel_lag_2,p.avg_oil_pri_barrel_lag_3,R2,adjR2,MAPE_test,MAPE_training,RMSE,pF,BP_statistic,BP_pvalue,dw_statistic,dw_pvalue,shapiro_statistic,shapiro_pvalue,adf_statistic,adf_pvalue,dfdirectioncheck,LHS,RHS,RHS1,RHS2,RHS3
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel,0.0322,,,-0.0294,,,,-2e-04,,,,,0.0027,,,0.0054,,,,0,,,,,12.1222,,,-5.449,,,,-5.9518,,,,,0,,,0,,,,0,,,,,0.7993,0.7838,0.1212,0.288,0.0042,0,1.2253,0.5419,0.7112,0,0.9578,0.2892,-3.0411,0.1735,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_3QMA_lag_1,0.0399,,,-0.0122,,,,,-3e-04,,,,0.0026,,,0.0049,,,,,0,,,,15.5964,,,-2.4942,,,,,-9.1665,,,,0,,,0.0193,,,,,0,,,,0.8879,0.8793,0.0814,0.1891,0.0031,0,3.8881,0.1431,0.8747,0,0.8833,0.004,-3.8177,0.0333,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_3QMA_lag_1, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_3QMA_lag_1, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_3QMA_lag_1,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_3QMA_lag_1
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_6QMA_lag_1,0.0474,,,-0.0024,,,,,,-4e-04,,,0.0031,,,0.0053,,,,,,0,,,15.2027,,,-0.4557,,,,,,-9.8799,,,0,,,0.6524,,,,,,0,,,0.9003,0.8926,0.1931,0.201,0.003,0,3.2746,0.1945,0.6808,0,0.9819,0.8829,-3.9643,0.0238,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_6QMA_lag_1, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_6QMA_lag_1, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_6QMA_lag_1,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_6QMA_lag_1
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_lag_2,0.0385,,,-0.0134,,,,,,,-3e-04,,0.0027,,,0.0053,,,,,,,0,,14.4346,,,-2.5336,,,,,,,-8.26,,0,,,0.0177,,,,,,,0,,0.8692,0.8591,0.0998,0.1997,0.0034,0,3.1566,0.2063,0.9814,0,0.9353,0.0755,-3.3687,0.0809,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_lag_2, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_2, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_2,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_2
DR ~ Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_lag_3,0.0404,,,-0.0084,,,,,,,,-3e-04,0.0031,,,0.0061,,,,,,,,0,12.9478,,,-1.3786,,,,,,,,-7.6511,0,,,0.1798,,,,,,,,0,0.8542,0.8429,0.0882,0.2356,0.0036,0,6.0264,0.0491,1.1162,0,0.9407,0.1048,-3.98,0.0233,0.5,DR , Rl_est_Dub_q_yoy_ch_lag_1+avg_oil_pri_barrel_lag_3, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_3, Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_3,Rl_est_Dub_q_yoy_ch_lag_1|avg_oil_pri_barrel_lag_3
DR ~ avg_oil_pri_barrel_3QMA_lag_2+Non_oil_ECI_yoy_ch_3QMA_lag_3,0.0437,,,,-3e-04,-0.0599,,,,,,,0.002,,,,0,0.0223,,,,,,,22.2721,,,,-12.0646,-2.6814,,,,,,,0,,,,0,0.0126,,,,,,,0.9074,0.9002,0.0983,0.1742,0.0029,0,9.8847,0.0071,0.9318,0,0.974,0.6732,-4.1092,0.0187,1,DR , avg_oil_pri_barrel_3QMA_lag_2+Non_oil_ECI_yoy_ch_3QMA_lag_3, avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_3QMA_lag_3, avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_3QMA_lag_3,avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_3QMA_lag_3
DR ~ avg_oil_pri_barrel_3QMA_lag_2+Non_oil_ECI_yoy_ch_6QMA,0.0435,,,,-3e-04,,-0.0946,,,,,,0.0019,,,,0,,0.0307,,,,,,22.9509,,,,-10.5433,,-3.0821,,,,,,0,,,,0,,0.0048,,,,,,0.9134,0.9067,0.0937,0.1634,0.0028,0,12.7996,0.0017,1.0208,0,0.9705,0.5738,-4.2708,0.0129,1,DR , avg_oil_pri_barrel_3QMA_lag_2+Non_oil_ECI_yoy_ch_6QMA, avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_6QMA, avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_6QMA,avg_oil_pri_barrel_3QMA_lag_2|Non_oil_ECI_yoy_ch_6QMA
DR ~ avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel,0.0452,,,,-3e-04,,,0,,,,,0.0022,,,,0,,,0,,,,,20.978,,,,-8.6064,,,-1.2366,,,,,0,,,,0,,,0.2273,,,,,0.8883,0.8797,0.1138,0.1543,0.0031,0,2.6648,0.2638,0.8725,0,0.7943,1e-04,-5.3284,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel,avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel
DR ~ avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_3QMA_lag_1,0.0448,,,,-2e-04,,,,-1e-04,,,,0.0021,,,,1e-04,,,,1e-04,,,,21.302,,,,-2.5774,,,,-1.3425,,,,0,,,,0.016,,,,0.191,,,,0.8894,0.8809,0.1183,0.1559,0.0031,0,2.7771,0.2494,0.8363,0,0.7863,0,-5.375,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_3QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_3QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_3QMA_lag_1,avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_3QMA_lag_1
DR ~ avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_6QMA_lag_1,0.0477,,,,-1e-04,,,,,-3e-04,,,0.0024,,,,1e-04,,,,,1e-04,,,19.952,,,,-0.7212,,,,,-2.2802,,,0,,,,0.4772,,,,,0.031,,,0.9014,0.8939,0.1897,0.186,0.0029,0,15.4771,4e-04,0.7084,0,0.9864,0.9626,-4.3724,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_2+avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_6QMA_lag_1,avg_oil_pri_barrel_3QMA_lag_2|avg_oil_pri_barrel_6QMA_lag_1
